model,prompt_variant,crps,crps_relative,mean_pinball_loss,interval_width,relative_interval_width,n
gpt-4o-demo,natural,4.407637334962988,0.23459775801708385,1.9499483512138016,18.88888888888889,0.9823468056667325,9
gpt-4o-demo,statistical,4.407637334962988,0.23459775801708385,1.9499483512138016,18.88888888888889,0.9823468056667325,9
gpt-4o-mini-demo,natural,4.798056547463373,0.27701153885439117,2.24861549190365,9.100000000000001,0.3246592287531438,9
gpt-4o-mini-demo,statistical,4.798056547463373,0.27701153885439117,2.24861549190365,9.100000000000001,0.3246592287531438,9
