model,stratum,season,crps,crps_relative,mean_pinball_loss,interval_width,relative_interval_width,n
claude-fable-5,regional_inference,annual,5.9568094384480155,0.11033171769675895,2.5290909090909093,25.0,0.4630487127245786,2
claude-fable-5,regional_inference,dry_season,2.1731842355174207,0.4802617095066123,0.941875,8.6,1.9005524861878451,2
claude-fable-5,regional_inference,wet_season,4.635632225253625,0.14334051407710657,1.985238095238095,20.0,0.6184291898577614,2
claude-fable-5,specific_station,annual,6.512459456089154,0.11511196564010875,2.8204166666666666,29.0,0.5125939019001325,2
claude-fable-5,specific_station,dry_season,2.3694705423234517,0.44206539968721115,1.0727777777777778,8.35,1.5578358208955225,2
claude-fable-5,specific_station,wet_season,4.7651591779405145,0.13464705221645987,2.115520833333333,21.0,0.5933879627013281,2
claude-fable-5,underspecified,annual,6.082082408749175,0.12031814854103215,2.7027481121898598,26.0,0.5143422354104847,2
claude-fable-5,underspecified,dry_season,2.4223761252852487,0.3701109435118791,1.0787665198237886,9.5,1.4514896867838045,2
claude-fable-5,underspecified,wet_season,4.344178770243046,0.1501357791685863,1.9302350427350428,19.0,0.6566442025228961,2
claude-haiku-4-5,regional_inference,annual,6.210026917623,0.11502179880761251,2.7743939393939394,21.5,0.3982218929431376,2
claude-haiku-4-5,regional_inference,dry_season,3.6829271020416527,0.813906541887658,1.7018750000000002,7.0,1.5469613259668507,2
claude-haiku-4-5,regional_inference,wet_season,8.516047649248383,0.2633286224257385,3.8364285714285717,26.5,0.8194186765615338,2
claude-haiku-4-5,specific_station,annual,6.788244680040698,0.1199866492274096,2.899166666666667,35.0,0.618647812638091,2
claude-haiku-4-5,specific_station,dry_season,2.4923861074997196,0.4649974081156194,1.1566666666666665,5.25,0.9794776119402986,2
claude-haiku-4-5,specific_station,wet_season,5.543407246767239,0.15663767298014236,2.4297916666666666,21.0,0.5933879627013281,2
claude-haiku-4-5,underspecified,annual,6.233893239777665,0.12332133016375205,2.8240507011866236,20.0,0.39564787339268054,2
claude-haiku-4-5,underspecified,dry_season,2.807732912302818,0.42898898583694695,1.2976064610866371,6.5,0.9931245225362872,2
claude-haiku-4-5,underspecified,wet_season,5.748632730616643,0.19867401868383075,2.5730395299145297,21.0,0.7257646448937273,2
claude-opus-4-8,regional_inference,annual,6.112687915413144,0.11321889082076578,2.631363636363636,25.0,0.4630487127245786,2
claude-opus-4-8,regional_inference,dry_season,3.0448263794615817,0.6728898076158191,1.3485416666666667,9.75,2.154696132596685,2
claude-opus-4-8,regional_inference,wet_season,5.049486220520874,0.1561374836277327,2.288571428571428,18.0,0.5565862708719852,2
claude-opus-4-8,specific_station,annual,6.517371627400736,0.11519879146974345,2.8414583333333336,28.5,0.5037560760053027,2
claude-opus-4-8,specific_station,dry_season,2.4633351307599156,0.459577449768641,1.1129166666666668,8.5,1.5858208955223883,2
claude-opus-4-8,specific_station,wet_season,5.1120922288949835,0.14445019013548976,2.2421875,21.5,0.6075162475275502,2
claude-opus-4-8,underspecified,annual,6.092661959070149,0.12052743737032937,2.7295037756202802,23.0,0.4549950544015826,2
claude-opus-4-8,underspecified,dry_season,2.665223286701853,0.4072151698551342,1.1837665198237883,10.0,1.5278838808250574,2
claude-opus-4-8,underspecified,wet_season,4.369704937639276,0.15101796915981597,1.9394871794871795,20.0,0.6912044237083117,2
claude-sonnet-4-6,regional_inference,annual,6.189611859394083,0.11464367215028863,2.626212121212121,28.0,0.518614558251528,2
claude-sonnet-4-6,regional_inference,dry_season,2.5232486192174477,0.5576240042469497,1.1064583333333333,9.25,2.044198895027624,2
claude-sonnet-4-6,regional_inference,wet_season,4.7256433141782415,0.14612378831719983,2.0159523809523807,22.0,0.6802721088435375,2
claude-sonnet-4-6,specific_station,annual,6.778206984896134,0.11980922642326353,2.8825000000000003,35.0,0.618647812638091,2
claude-sonnet-4-6,specific_station,dry_season,2.6540449270798283,0.4951576356492218,1.1822222222222223,9.75,1.8190298507462688,2
claude-sonnet-4-6,specific_station,wet_season,5.003894415374996,0.14139289108152006,2.2242708333333336,20.0,0.5651313930488839,2
claude-sonnet-4-6,underspecified,annual,6.154241831832372,0.12174563465543763,2.7377993527508093,26.0,0.5143422354104847,2
claude-sonnet-4-6,underspecified,dry_season,2.6674061962497353,0.40754869308628505,1.1683259911894273,11.0,1.680672268907563,2
claude-sonnet-4-6,underspecified,wet_season,5.1451255001501455,0.17781667531191098,2.2235416666666667,25.5,0.8812856402280974,2
