model,season,crps,crps_relative,mean_pinball_loss,interval_width,relative_interval_width,n
claude-fable-5,annual,6.183783767762114,0.11525394395929996,2.684085229315812,26.666666666666668,0.4966616166783986,6
claude-fable-5,dry_season,2.321676967708707,0.4308126842352342,1.0311397658671888,8.816666666666666,1.636625997955724,6
claude-fable-5,wet_season,4.581656724479061,0.14270778182071758,2.0103313237688236,20.0,0.6228204516939951,6
claude-haiku-4-5,annual,6.4107216124804545,0.11944325939959138,2.8325371024157433,25.5,0.470839192991303,6
claude-haiku-4-5,dry_season,2.9943487072813966,0.5692976452800748,1.3853827092511013,6.25,1.173187820147812,6
claude-haiku-4-5,wet_season,6.6026958755440885,0.20621343802990388,2.946419922669923,22.833333333333332,0.712857094718863,6
claude-opus-4-8,annual,6.240907167294676,0.11631503988694619,2.7341085817724164,25.5,0.47393328104382126,6
claude-opus-4-8,dry_season,2.7244615989744503,0.5132274757465315,1.215074951052374,9.416666666666666,1.7561336363147102,6
claude-opus-4-8,wet_season,4.843761129018378,0.1505352143076795,2.1567487026862024,19.833333333333332,0.6184356473692824,6
claude-sonnet-4-6,annual,6.374020225374196,0.11873284440966325,2.748837157987644,29.666666666666668,0.5505348687667012,6
claude-sonnet-4-6,dry_season,2.614899914182337,0.4867767776608188,1.152335515581661,10.0,1.8479670048938186,6
claude-sonnet-4-6,wet_season,4.958221076567794,0.15511111823687695,2.1545882936507934,22.5,0.7088963807068396,6
