model,prompt_variant,crps,crps_relative,mean_pinball_loss,interval_width,relative_interval_width,n
gpt-4o,natural,5.6094083209526024,0.2808942538385384,2.465629370801136,22.27777777777778,0.9207345439057227,9
gpt-4o,statistical,5.45861236047748,0.2662397873166665,2.3913777139696335,20.944444444444443,0.8605358002578395,9
gpt-4o-mini,natural,4.921547081325251,0.2837847228262392,2.14400880731475,25.0,1.0690593329437308,9
gpt-4o-mini,statistical,4.901414539002909,0.2550503561497221,2.191975665842365,19.5,0.7509347932978173,9
